# Авторитетный указатель фидов BYDAutoFeatureIds.
# Источник: feature_ids_catalog.json, sha256 80f8c7b0a9d14707b0ea2bf8938fa09931b8f8bf9afcab9754d8b23b3b2530a4
# Групп 51, полей 6699, уникальных значений 3480.
# Строка: 0xФИД имя[ имя ...]. Одно значение может носить
# несколько имён — каталог перечисляет их через пробел.
0x00044C95 PHONE_MUTE
0x0004506F SET_HAS_DYNAMIC_SUSPENSION
0x000450BF BODYWORK_BATTERY_VOLTAGE_LEVEL
0x000452D9 SET_REMEMBER_ACCOUNT_SET
0x00045471 SET_MILEAGE_DISPLAY_STANDARD_STATUS
0x00045832 POWER_OUTPUT_5V
0x000459EC SET_READING_LIGHT_RESET_SET
0x000461B4 CHARGING_APPOINTMENT_END_TIME_DATE_FLAG
0x00046C45 RSE_R_SEND_KEYEVENT_SET
0x00046EEF TEST_PA_CONTROL_SET
0x00047DF4 CHARGING_APPOINTMENT_START_TIME_DATE_FLAG
0x00048AD5 SET_BACK_DOOR_OPEN_HEIGHT_SET
0x00048F86 INSTRUMENT_MEMORY_SYSTEM
0x000492E4 BODYWORK_POWER_DAY_MODE
0x00049367 STATISTIC_AVERAGE_BATTERY_TEMP
0x000493F3 CHARGING_FULL_UNLOCK_FLAG
0x000497D8 SET_ATMP_RESET_SET
0x0004980F INSTRUMENT_DD_FAULT_BREAKHOLD_KEEPING
0x0004995D AUDIO_MASTER_VOLUME_SET_SET
0x00049D2A SET_HEIGHT_GEAR_SET
0x00049F18 SET_SMART_ELECTRIC_SWITCH_STATUS
0x0004A222 AUX_SIGNAL_STATE
0x0004AD56 BODY_DRIVER_SEAT_HEADREST_VERTICAL_POSITION_SET
0x0004B010 CHARGING_APPOINTMENT_START_TIME_DAY_SET
0x0004B0DC INSTRUMENT_APPOINTMENT_COUNTDOWN_FLAG
0x0004B4AD AUDIO_ARMREST_SCREEN_SINGER_NAME_SET
0x0004B68E CHARGING_APPOINTMENT_START_TIME_MONTH_SET
0x0004B6B1 SET_REMOTE_CONTROL_UNLOCKING_SET
0x0004BE3E INSTRUMENT_GEAR_SYSTEM
0x0004BF2F LOCATION_LATITUDE_VALUE
0x0004C213 SAFETY_BELT_COMMAND_AREA_SECOND_ROW_SEAT_RIGHT
0x0004C45F CHARGING_VEHICLE_MAX_SOC
0x0004C51C POWER_BATTERY_BIGDATA_MONITOR_EV_CAN0
0x0004C798 SET_K_MODE_ATMOSPHERE_LAMP_STATE
0x0004C96C INSTRUMENT_END_CHARGE_MINUTE
0x0004CD1D LIGHT_LEFT_TURN_SIGNAL_LIGHT_SWITCH_STATE
0x0004CFF3 CHARGING_VTOV_MAX_TEMP_ALLOWED
0x0004D3CE AUDIO_FRONT_BACK_FIELD_STATE
0x0004D9B6 VERSION_TRANS_CTRL
0x0004DA7A RSE_R_BLN_MODE_SET
0x0004DD8B POWER_BATTERY_BIGDATA_MONITOR_EV
0x0004DF5C SET_REAR_MIRROR_RESET_SET
0x0004E18F TIME_YEAR
0x0004E7BB SET_CAR_EXT_REARVIEW_MIRROR_AUTO_FOLD_SET
0x0004EBD3 SET_DYNAMIC_SUSPENSION_ACTUAL_OPERATING_MODE
0x0004FEFA SET_MMS_MIS_KEY_SET
0x000505BB INSTRUMENT_KEY_PAIR_PROCESS
0x0005060B INSTRUMENT_DISTANCE_OF_TARGET_AHEAD_ADVANCED_SET
0x00050ADC GB_MIL_LIGHT
0x00050F07 CHARGING_CHARGE_DISCHARGE_WARNING
0x000510A0 AUDIO_INTELLIGENT_VOICE_SOURCE_STATUS_SET
0x0005235F SET_ROLLER_PLUS_BUTTON
0x000524B4 OTA_TARGET_CAN_ID_WITH_CHANNEL_SET
0x000524D5 ONLINE_HAS_0x005500
0x00052EF6 SET_STEERING_WHEEL_ANGEL_CONTROL_STATE
0x00052F2C SET_SAVE_MEMORY_STATE
0x00053333 SET_PAD_ROTATION_SET
0x000533C4 AUDIO_PHONE_VOLUME_SET_SET
0x000533EE BODYWORK_ONLINE_HAS_0x048E00
0x00053D72 MOTOR_POWER_STATE
0x00054289 RSE_IVI_USE_AUDIO_PAD_TO_RSE_SET
0x000544E9 RSE_R_RHYTHM_MODE_SET
0x00054AC9 RSE_L_RHYTHM_COLOR1_SET
0x00054B15 VERSION_MOTOR_CTRL_R_SET
0x00055428 AUDIO_MEDIA_SOUND_MUTE_STATE
0x0005582A OTA_CMD_ECU_GET_VER2_SET
0x00055955 SET_GAME_HFEELING_SETTING
0x00056CC0 RSE_L_VOLUME_TO_PAD_SET
0x000579E9 RSE_IVI_FOLLOW_LINK_ENCRYPTION_TO_RSE_SET
0x000579FF SET_CAR_UNLOCK_AUTO_WINDOW_DET
0x00057C3E SET_MMS_START_F_SET
0x000583D8 TYRE_INDIRECT_TYRE_SYSTEM_CONFIRM_SET
0x000589E5 CHARGING_PHONE_ONE_KEY_HEAT_SWITCH_SET
0x00058D63 FUNC_SCREEN_NOTICE_SET
0x00058EBF INSTRUMENT_SUNROOF_SYSTEM
0x00058F5E SET_GAME_SGS_COUPLING_FLAG
0x000593C8 BODY_DRIVER_SEAT_BACKREST_POSITION
0x00059516 SET_CAR_PM25_TIME_SET
0x00059A1B BODYWORK_NFC_KEY_UNLOCK_CAR_INFORMATION
0x00059E39 SETTING_PRE_SALE_MODE_CONFIG
0x00059FBF BODYWORK_ONLINE_HAS_0x04FD00
0x0005A68B TYRE_BATTERY_VALUE_LEFT_REAR
0x0005A7D4 SPECIAL_REMOTE_CTL_ENTER_SENTRY_MODE_SET
0x0005AB51 SET_GAME_SWHEEL_ANGLE
0x0005AFDC AUX_CONNECT_STATE
0x0005B375 ADAS_LANE_OFFSET_KEY
0x0005B5EB MQTT_RESET_MODEM_STATUS
0x0005B890 INSTRUMENT_MAINTAIN_RESET_SET
0x0005C500 CHARGING_APPOINTMENT_START_TIME_HOUR_SET
0x0005CFE5 SET_CAR_L_VIEW_SET
0x0005D347 SET_ATMOSPHERE_LAMP_LINKAGE_SETTING_FEEDBACK
0x0005D8FD AUDIO_KEY_TONE_SET
0x0005DB1F POWER_TP_OWNER
0x0005DBD4 SET_CAR_DRVING_RECORD_DET
0x0005E30A SET_HEIGHT_GEAR_FEEDBACK
0x0005E852 AUDIO_MIDRANGE_SET_SET
